name,address,city,postal_code,rating,user_ratings_total,types,maps_url,matched_keywords,place_category,product_category
Bio marché,"Rue des Champs 4, 1040 Etterbeek, Belgium",Etterbeek,1040,4.4,164,pet_store|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJfWKHhLnEw0cRMCgtbFevoUs,boutique bio locale;magasin bio,magasin,
The Barn Biomarkt - Jette,"Rue Pierre Timmermans 43, 1090 Jette, Belgium",Jette,1090,4.4,308,supermarket|grocery_or_supermarket|food|store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJM36jKNTDw0cRZQ1ceAMF49c,boutique bio locale;magasin bio,magasin,
Brüt by Färm,"Rue Gray 10, 1040 Etterbeek, Belgium",Etterbeek,1040,4.3,245,grocery_or_supermarket|food|store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJY0VuzvHFw0cRv-VMQeki59M,magasin bio;magasin de producteurs,magasin,
BelFood,"Quai du Hainaut 29, 1080 Molenbeek-Saint-Jean, Belgium",Molenbeek-Saint-Jean,1080,4.5,181,store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJnat2xIvDw0cRgsSEwvT1D5A,magasin bio,magasin,
Herboristerie Moderne,"Rue du Marché au Charbon 87, 1000 Bruxelles, Belgium",Bruxelles,1000,4.6,206,grocery_or_supermarket|food|store|point_of_interest|health|establishment,https://www.google.com/maps/place/?q=place_id:ChIJM0iyTXjEw0cR_nzd67h8ZBs,magasin bio,magasin,
It's for you,"R. du Broeck 12, 1070 Anderlecht, Belgium",Anderlecht,1070,5,4,food|store|point_of_interest|health|establishment,https://www.google.com/maps/place/?q=place_id:ChIJg5tfYn3Hw0cRHUxNEH-IXuE,boutique bio locale;magasin bio;magasin de produits biologiques,magasin,
Payot Milk,"Olympische Dreef 15, Cora, 1070 Anderlecht, Belgium",Anderlecht,1070,,,store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJD_zEX43Gw0cRXFiWD_sZ-_M,magasin bio,magasin,
Sequoia Organic & Natural Market,"Chau. de Saint-Job 532, 1180 Uccle, Belgium",Uccle,1180,4.1,180,grocery_or_supermarket|food|store|point_of_interest|health|establishment,https://www.google.com/maps/place/?q=place_id:ChIJoVOy_w7Fw0cRean6CgFBpPw,magasin bio,magasin,
Magic Roots Boutique,"Rue Gray 9, 1040 Bruxelles, Belgium",Bruxelles,1040,5,21,grocery_or_supermarket|food|store|point_of_interest|health|establishment,https://www.google.com/maps/place/?q=place_id:ChIJeeuwpf3Fw0cRVQAmnW0ArhE,boutique bio locale;magasin bio,magasin,
Sequoia,"Chau. de Waterloo 512, 1050 Ixelles, Belgium",Ixelles,1050,4.3,56,grocery_or_supermarket|food|store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJmXL5mHvFw0cR2DyqUcLAyIQ,magasin bio,magasin,
Payot Milk,"Rue Ropsy Chaudron 24, 1070 Anderlecht, Belgium",Anderlecht,1070,,,store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJiRIB9QvEw0cR9zlbunuH3JM,magasin bio,magasin,
Almata,"Rue d'Albanie 80, 1060 Saint-Gilles, Belgium",Saint-Gilles,1060,4.4,44,grocery_or_supermarket|food|store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJNVnhjV7Ew0cRM_huzUYZVyk,magasin bio,magasin,
Le Papegaai,"Chau. d'Alsemberg 314, 1190 Forest, Belgium",Forest,1190,4.7,28,store|health|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJjdIl-wfFw0cReNXxusavxzg,boutique bio locale,magasin,
